sentence,label
AdilNisarButt pakistan ka ghra tauq he Pakistan Israel ko tasleem nahein kerta Isko Palestine kehta he OCCUPIED PALESTINE,0
Madarchod mulle ye mathura me Nahi dikha tha jab mullo ne Hindu ko iss liye mara ki vo lasse ki paise mag liye the,0
narendramodi Manya Pradhan Mantri mahoday Shriman Narendra Modi ji Pradhanmantri banne par Hardik Badhai tahe Dil,2
Atheist Krishna Jcb full trend,2
AbhisharSharma RavishKumarBlog Loksabha me janta sirf modi ko vote de rahi thi na ki kisi MP or BJP ko without m,2
noirnaveed AngelAhana6 cricketworldcup Bhosdike tum pechvade ki,0
Love u Bhaijan Father son Bharat IAmBharat BharatThisEid BEST Pic From Entire Promotions Mashallah,2
manojgajjar111 Tumhara pass abh deemagh hai nahi islea Google ko apna deemagh banaya hua hai Har koi tumhari tarh,0
Mahlogo nolo Weni ankere,2
Aurangzeb AIMIM SachinS40805591 Lage raho mullo tumhre issi Quran faad gyan ki kayal hain duniya Allah bhi khus,0
reema omer BushraGohar QasimKhanSuri Ali MuhammadPTI Pakhtoon k haqooq ki jang nahi punjab k haqooq ki jung pak,0
cooladitaya khanumarfa Ye sale is desh ke kabhi sage nahin ho sakte Ye gaddar hain Inke sath kadi se kadi kanun,0
HYUN7lN saf baby i m sorry i wasn t online i hope you re sleeping well,2
Nevveon Real life k log chor diye hain mene already jo snakes thy ab internet k chorne hain i'm sad,0
mjdawar Mohsin DawarTweets daikho aur kuch kha ker mar jao Bayghayrat insanTum aur Ali Wazir harami ho Pakistan,0
AnupamPKher Kuch media channel dikh rahe hai ki inke upar kai prakaar ke criminal cases hai shame on this,0
EkThaEngg AnupamPKher Abe mc nhi malum to ammi mat chuda bsdk grahm stains ko dara singh ne mara tha adivasiy,0
tamashbeen Well chara Chor ke chele this news,0
Twitter k baghair apna roza mumkin nahi hota Apna chutiyaap dusron per thopna band karo Bhai,2
Oh haha the soldier is reading American Gods hardy har har thanks for reminding everyone,0
asadowaisi PMOIndia Mp me govt kamalnath ki h Wese ek or video viral h jisme aapke shantidut bhai ek dukandar,0
idevadhikari Dev da tmr new movie song Ami tmk valobasi I,1
Abe BC kya le jayenge yeh toh batah abhi PAKvWI Babaji Ka Thullu,2
I hope I see my baby this weekend but,1
DesiStupides Teri ma ka sakinaka tujhe Bhadi chinta ho rahi aaj ab se pehle bhadve log bethe the tab tu dudh,0
RubikaLiyaquat Isko zammene chayiye bus dogma hai ye kabhi akhilesh ki tareef karta hai aur kabhi rahul me pm dikh,1
AskAnshul Jai Shri Ram Jai Shri Krishna Jai Bajrang Bali Jai Bholenath Hum log Bolne lage to rukenge nahi,0
praneeth rao IndiaHistorypic Hindi tumhari bass ki nahi Nahi seekh paoge Darte ho kahin Hindi me marks hi nahi,0
TalhaGhouri786 shahidmemon20 Hamyat tu khota khor corrupt ganje ki bhi kerte thy kia ukhar lia unhon ne,0
RT shirai io On sale today NXTTakeOverXXV It s my entrance mask quality is very very nice Even back side,2
Alee Ch1 SHABAZGIL Pakeeza language ka istemaal tu koi Nooni bhayoon se poochhay Youthie pe aewen e criticism karte,1
SenTi GuLwisH Nahi wo is news ko defend kerne ki koshesh ker rhe hain,1
RT vikas murali sardesairajdeep Noone cares We will boycott world cup till Nesamani recovers and his,1
M AHMAD884 shahnaveid Lulli hoti nahi khadi Baten karalo badi badi,1
RT FaizanSays23 Dho diya ashk-e-nadamat ne gunahon ko meray tar hua daman to baare paak daman ho,1
